Time [s],T1,T2,T3,T4,T5
18.255722250,0,0,0,1,0
18.256157917,0,0,0,0,0
18.306202250,1,0,0,0,0
18.328253500,0,0,0,0,0
18.328264042,0,1,0,0,0
18.328379500,0,0,0,0,0
18.328393250,0,0,1,0,0
18.328508750,0,0,0,0,0
18.328526625,0,0,0,1,0
18.328962292,0,0,0,0,0
18.328979167,0,0,0,0,1
18.384501792,0,0,0,0,0
18.384519667,0,0,0,1,0
18.384961417,0,0,0,0,0
18.407161792,0,0,0,1,0
18.407603542,0,0,0,0,0
18.457639750,0,0,0,1,0
18.458075417,0,0,0,0,0
18.508122792,0,0,0,1,0
18.508564542,0,0,0,0,0
18.558605542,0,0,0,1,0
18.559047292,0,0,0,0,0
18.609083500,0,0,0,1,0
18.609519167,0,0,0,0,0
18.659566250,0,0,0,1,0
18.660001917,0,0,0,0,0
18.710038125,0,0,0,1,0
18.710479875,0,0,0,0,0
18.760526917,0,0,0,1,0
18.760962625,0,0,0,0,0
18.810999250,0,0,1,0,0
18.811116625,0,0,0,0,0
18.811127500,1,0,0,0,0
18.872011417,0,0,0,0,0
18.872022000,0,1,0,0,0
18.872139625,0,0,0,0,0
18.872157500,0,0,0,1,0
18.872593167,0,0,0,0,0
18.872610042,0,0,0,0,1
18.928113625,0,0,0,0,0
18.928131500,0,0,0,1,0
18.928573250,0,0,0,0,0
18.962439292,0,0,0,1,0
18.962875000,0,0,0,0,0
19.012922042,0,0,0,1,0
19.013357750,0,0,0,0,0
19.063405125,0,0,0,1,0
19.063846875,0,0,0,0,0
19.113883042,0,0,0,1,0
19.114318750,0,0,0,0,0
19.164365792,0,0,0,1,0
19.164801500,0,0,0,0,0
19.214837667,0,0,0,1,0
19.215279417,0,0,0,0,0
19.265326500,0,0,0,1,0
19.265762167,0,0,0,0,0
19.315802625,0,0,0,1,0
19.316238292,0,0,0,0,0
19.316249167,1,0,0,0,0
19.377139625,0,0,0,0,0
19.377150167,0,1,0,0,0
19.377267667,0,0,0,0,0
19.377281417,0,0,1,0,0
19.377396625,0,0,0,0,0
19.377414500,0,0,0,1,0
19.377850167,0,0,0,0,0
19.377867042,0,0,0,0,1
19.433395750,0,0,0,0,0
19.433413625,0,0,0,1,0
19.433849292,0,0,0,0,0
19.467236875,0,0,0,1,0
19.467672542,0,0,0,0,0
19.517719625,0,0,0,1,0
19.518155292,0,0,0,0,0
19.568202375,0,0,0,1,0
19.568644125,0,0,0,0,0
19.618680625,0,0,0,1,0
19.619116292,0,0,0,0,0
19.669163375,0,0,0,1,0
19.669599042,0,0,0,0,0
19.719646125,0,0,0,1,0
19.720087875,0,0,0,0,0
19.770124042,0,0,0,1,0
19.770559750,0,0,0,0,0
19.820599167,0,0,0,0,1
19.876115542,0,0,0,0,0
19.876126417,1,0,0,0,0
19.898086792,0,0,0,0,0
19.898097375,0,1,0,0,0
19.898211542,0,0,0,0,0
19.898225292,0,0,1,0,0
19.898340792,0,0,0,0,0
19.898358667,0,0,0,1,0
19.898794375,0,0,0,0,0
19.921566625,0,0,0,1,0
19.922008375,0,0,0,0,0
19.972044542,0,0,0,1,0
19.972480250,0,0,0,0,0
20.022516417,0,0,0,1,0
20.022952125,0,0,0,0,0
20.072999167,0,0,0,1,0
20.073440917,0,0,0,0,0
20.123477125,0,0,0,1,0
20.123912792,0,0,0,0,0
20.173960167,0,0,0,1,0
20.174395875,0,0,0,0,0
20.224442917,0,0,0,1,0
20.224884667,0,0,0,0,0
20.274925667,0,0,0,1,0
20.275367417,0,0,0,0,0
20.325400875,1,0,0,0,0
20.386292667,0,0,0,0,0
20.386303250,0,1,0,0,0
20.386419500,0,0,0,0,0
20.386433250,0,0,1,0,0
20.386548750,0,0,0,0,0
20.386572667,0,0,0,1,0
20.387008375,0,0,0,0,0
20.387025250,0,0,0,0,1
20.442536292,0,0,0,0,0
20.442554167,0,0,0,1,0
20.442995917,0,0,0,0,0
20.476840250,0,0,0,1,0
20.477275917,0,0,0,0,0
20.527323000,0,0,0,1,0
20.527758667,0,0,0,0,0
20.577805750,0,0,0,1,0
20.578247500,0,0,0,0,0
20.628283667,0,0,0,1,0
20.628719375,0,0,0,0,0
20.678766417,0,0,0,1,0
20.679202125,0,0,0,0,0
20.729238625,0,0,0,1,0
20.729680375,0,0,0,0,0
20.779721375,0,0,0,1,0
20.780163125,0,0,0,0,0
20.830199417,0,0,1,0,0
20.830316792,0,0,0,0,0
20.830327667,1,0,0,0,0
20.891218750,0,0,0,0,0
20.891229292,0,1,0,0,0
20.891347750,0,0,0,0,0
20.891365625,0,0,0,1,0
20.891807375,0,0,0,0,0
20.891824250,0,0,0,0,1
20.947315625,0,0,0,0,0
20.947333500,0,0,0,1,0
20.947775250,0,0,0,0,0
20.981641292,0,0,0,1,0
20.982077000,0,0,0,0,0
21.032124042,0,0,0,1,0
21.032559750,0,0,0,0,0
21.082606792,0,0,0,1,0
21.083048542,0,0,0,0,0
21.133084750,0,0,0,1,0
21.133520417,0,0,0,0,0
21.183556625,0,0,0,1,0
21.183992292,0,0,0,0,0
21.234039375,0,0,0,1,0
21.234481125,0,0,0,0,0
21.284522417,0,0,0,1,0
21.284964167,0,0,0,0,0
21.335000500,0,0,1,0,0
21.335116625,0,0,0,0,0
21.335127500,1,0,0,0,0
21.357088125,0,0,0,0,0
21.357098667,0,1,0,0,0
21.357211500,0,0,0,0,0
21.357229375,0,0,0,1,0
21.357671125,0,0,0,0,0
21.357688000,0,0,0,0,1
21.413224375,0,0,0,0,0
21.413242250,0,0,0,1,0
21.413684000,0,0,0,0,0
21.435960500,0,0,0,1,0
21.436402250,0,0,0,0,0
21.486438417,0,0,0,1,0
